Algorithm Impl Scenario IterationX IterationY Time Cwnd
fidelity/cubic ccp_netlink fixed 0 0 0.8296924440000001 152.0
fidelity/cubic ccp_netlink fixed 0 0 0.8333402209999999 152.0
fidelity/cubic ccp_netlink fixed 0 0 0.8363702220000001 152.0
fidelity/cubic ccp_netlink fixed 0 0 0.844073443 152.0
fidelity/cubic ccp_netlink fixed 0 0 0.850740502 152.0
fidelity/cubic ccp_netlink fixed 0 0 0.8567377880000001 152.0
fidelity/cubic ccp_netlink fixed 0 0 0.8588416870000001 152.0
fidelity/cubic ccp_netlink fixed 0 0 0.8807365640000001 152.0
fidelity/cubic ccp_netlink fixed 0 0 0.8852045940000001 152.0
fidelity/cubic ccp_netlink fixed 0 0 0.8901442860000001 152.0
fidelity/cubic ccp_netlink fixed 0 0 0.89024603 152.0
fidelity/cubic ccp_netlink fixed 0 0 0.892116663 152.0
fidelity/cubic ccp_netlink fixed 0 0 0.895710632 152.0
fidelity/cubic ccp_netlink fixed 0 0 0.89987549 152.0
fidelity/cubic ccp_netlink fixed 0 0 0.909460907 152.0
fidelity/cubic ccp_netlink fixed 0 0 0.9386163100000001 153.0
fidelity/cubic ccp_netlink fixed 0 0 0.951832095 153.0
fidelity/cubic ccp_netlink fixed 0 0 0.961151068 154.0
fidelity/cubic ccp_netlink fixed 0 0 0.9736474970000001 154.0
fidelity/cubic ccp_netlink fixed 0 0 0.976422064 154.0
fidelity/cubic ccp_netlink fixed 0 0 0.9764781210000001 154.0
fidelity/cubic ccp_netlink fixed 0 0 0.976535541 154.0
fidelity/cubic ccp_netlink fixed 0 0 0.976556705 154.0
fidelity/cubic ccp_netlink fixed 0 0 0.97790885 154.0
fidelity/cubic ccp_netlink fixed 0 0 0.9804027730000001 154.0
fidelity/cubic ccp_netlink fixed 0 0 0.9992982570000001 154.0
fidelity/cubic ccp_netlink fixed 0 0 1.0124196799999998 154.0
fidelity/cubic ccp_netlink fixed 0 0 1.0139578059999999 155.0
fidelity/cubic ccp_netlink fixed 0 0 1.039578505 155.0
fidelity/cubic ccp_netlink fixed 0 0 1.0495273699999998 155.0
fidelity/cubic ccp_netlink fixed 0 0 1.0505984119999998 155.0
fidelity/cubic ccp_netlink fixed 0 0 1.0620652369999999 155.0
fidelity/cubic ccp_netlink fixed 0 0 1.0623724159999999 156.0
fidelity/cubic ccp_netlink fixed 0 0 1.070947913 156.0
fidelity/cubic ccp_netlink fixed 0 0 1.076312634 156.0
fidelity/cubic ccp_netlink fixed 0 0 1.088603732 156.0
fidelity/cubic ccp_netlink fixed 0 0 1.116796424 156.0
fidelity/cubic ccp_netlink fixed 0 0 1.132556074 157.0
fidelity/cubic ccp_netlink fixed 0 0 1.140214135 157.0
fidelity/cubic ccp_netlink fixed 0 0 1.144809118 157.0
